gene_name,control_females_max_transcript_counts,control_males_max_transcript_counts,difference
LOC111105023,0,1,-1
LOC111105035,3,2,1
LOC111105071,0,1,-1
LOC111105090,1,0,1
LOC111105099,1,0,1
LOC111105154,1,0,1
LOC111105211,2,1,1
LOC111105226,0,1,-1
LOC111105233,3,2,1
LOC111105238,1,2,-1
LOC111105239,1,2,-1
LOC111105242,0,1,-1
LOC111105249,3,2,1
LOC111105256,2,1,1
LOC111105259,2,1,1
LOC111105271,1,0,1
LOC111105272,3,1,2
LOC111105273,5,1,4
LOC111105276,3,1,2
LOC111105280,4,2,2
LOC111105288,0,1,-1
LOC111105291,1,2,-1
LOC111105295,3,2,1
LOC111105296,2,1,1
LOC111105304,2,5,-3
