gene_name,transcript_counts.S12M,transcript_counts.S23M,transcript_counts.S31M,transcript_counts.S48M,transcript_counts.S59M,transcript_counts.S9M,exposed_males_sum_transcript_counts,exposed_males_median_transcript_counts,exposed_males_mean_transcript_counts,exposed_males_max_transcript_counts,exposed_males_min_transcript_counts,exposed_males_std_dev_transcript_counts
LOC111099552,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099553,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099554,0,0,1,1,0,1,3,0.5,0.5,1,0,0.547722557505166
LOC111099555,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099556,1,1,1,1,0,1,5,1,0.833333333333333,1,0,0.408248290463863
LOC111099557,2,2,1,2,1,2,10,2,1.66666666666667,2,1,0.516397779494322
LOC111099558,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099559,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099560,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099561,1,1,1,1,1,1,6,1,1,1,1,0
