gene_name,controls_max_transcript_counts,exposed_max_transcript_counts,difference
LOC111106279,0,1,-1
LOC111106292,2,1,1
LOC111106299,4,5,-1
LOC111106302,0,2,-2
LOC111106309,2,1,1
LOC111106326,2,1,1
LOC111106336,3,4,-1
LOC111106349,2,1,1
LOC111106352,1,2,-1
LOC111106384,2,1,1
LOC111106420,3,2,1
LOC111106457,3,2,1
LOC111106465,6,5,1
LOC111106471,1,2,-1
LOC111106481,2,1,1
LOC111106502,1,2,-1
LOC111106508,4,5,-1
LOC111106535,1,2,-1
LOC111106556,1,2,-1
LOC111106572,1,0,1
LOC111106580,1,2,-1
LOC111106589,1,2,-1
LOC111106605,1,2,-1
LOC111106606,2,1,1
LOC111106614,1,2,-1
LOC111106618,1,2,-1
LOC111106630,2,3,-1
LOC111106637,3,2,1
LOC111106639,13,11,2
LOC111106650,3,2,1
LOC111106656,1,3,-2
LOC111106663,1,2,-1
LOC111106664,3,2,1
LOC111106666,2,1,1
LOC111106668,5,4,1
LOC111106671,2,1,1
LOC111106679,2,1,1
LOC111106698,2,3,-1
LOC111106706,2,3,-1
LOC111106711,3,2,1
LOC111106717,1,2,-1
LOC111106725,1,0,1
LOC111106726,2,1,1
LOC111106732,2,1,1
LOC111106749,2,3,-1
LOC111106758,1,0,1
LOC111106761,0,1,-1
LOC111106765,3,1,2
LOC111106768,3,2,1
LOC111106778,1,2,-1
LOC111106808,2,3,-1
LOC111106828,2,1,1
LOC111106830,14,11,3
LOC111106834,2,1,1
LOC111106843,1,0,1
LOC111106861,3,5,-2
LOC111106867,3,2,1
LOC111106874,5,3,2
LOC111106876,2,1,1
LOC111106889,1,2,-1
LOC111106890,2,1,1
LOC111106917,2,1,1
LOC111106940,2,1,1
LOC111106944,3,4,-1
LOC111106946,1,2,-1
LOC111106967,3,2,1
LOC111106974,1,2,-1
LOC111106980,16,13,3
LOC111106989,3,1,2
LOC111107018,3,2,1
LOC111107025,2,3,-1
LOC111107058,6,5,1
LOC111107094,2,4,-2
LOC111107097,3,4,-1
LOC111107104,8,7,1
LOC111107138,12,8,4
LOC111107143,1,2,-1
LOC111107144,3,5,-2
LOC111107147,0,1,-1
LOC111107155,7,8,-1
LOC111107177,4,3,1
LOC111107185,3,6,-3
LOC111107193,2,1,1
LOC111107204,14,9,5
LOC111107224,4,5,-1
LOC111107241,1,2,-1
LOC111107253,2,3,-1
LOC111107267,1,0,1
LOC111107271,2,3,-1
LOC111107278,10,9,1
LOC111107284,4,3,1
LOC111107287,1,2,-1
LOC111107314,0,1,-1
LOC111107325,3,4,-1
LOC111107328,16,9,7
LOC111107364,4,5,-1
LOC111107386,0,1,-1
LOC111107417,0,1,-1
LOC111107424,1,2,-1
LOC111107523,1,2,-1
LOC111107549,3,4,-1
LOC111107551,2,3,-1
LOC111107555,2,3,-1
LOC111107556,1,2,-1
LOC111107576,3,2,1
LOC111107620,4,3,1
LOC111107667,3,2,1
LOC111107669,5,3,2
LOC111107672,3,4,-1
LOC111107678,3,2,1
LOC111107682,3,2,1
LOC111107739,4,5,-1
LOC111107745,0,1,-1
LOC111107748,1,2,-1
LOC111107778,0,1,-1
LOC111107791,1,0,1
LOC111107808,1,2,-1
LOC111107823,2,3,-1
LOC111107824,2,1,1
LOC111107827,7,6,1
LOC111107835,3,1,2
LOC111107837,1,2,-1
LOC111107864,0,1,-1
LOC111107918,1,0,1
LOC111107933,12,14,-2
LOC111107935,2,3,-1
LOC111107938,2,3,-1
LOC111107947,2,3,-1
LOC111107949,2,3,-1
LOC111107955,4,5,-1
LOC111107974,2,1,1
LOC111107978,1,2,-1
LOC111107985,2,3,-1
LOC111108034,0,1,-1
LOC111108035,0,1,-1
LOC111108036,0,1,-1
LOC111108043,2,3,-1
LOC111108045,1,2,-1
LOC111108046,3,4,-1
LOC111108048,1,2,-1
LOC111108054,1,2,-1
LOC111108060,4,5,-1
LOC111108061,5,6,-1
LOC111108063,4,3,1
LOC111108086,24,22,2
LOC111108092,2,4,-2
LOC111108097,0,1,-1
LOC111108120,4,5,-1
LOC111108121,2,4,-2
LOC111108124,14,15,-1
LOC111108148,3,4,-1
LOC111108167,8,9,-1
LOC111108169,2,3,-1
LOC111108194,1,2,-1
LOC111108212,17,1,16
LOC111108222,3,4,-1
LOC111108228,3,4,-1
LOC111108231,3,2,1
LOC111108240,2,1,1
LOC111108248,7,6,1
LOC111108267,1,2,-1
LOC111108304,3,2,1
LOC111108307,5,4,1
LOC111108361,5,6,-1
LOC111108403,5,3,2
LOC111108428,3,5,-2
LOC111108435,1,2,-1
LOC111108443,3,4,-1
LOC111108445,1,2,-1
LOC111108457,6,4,2
LOC111108459,4,3,1
LOC111108470,3,2,1
LOC111108471,3,2,1
LOC111108474,2,1,1
LOC111108482,1,2,-1
LOC111108495,4,3,1
LOC111108503,5,4,1
LOC111108507,1,2,-1
LOC111108530,1,2,-1
LOC111108536,2,1,1
LOC111108537,2,1,1
LOC111108560,3,4,-1
LOC111108604,3,2,1
LOC111108644,1,2,-1
LOC111108653,6,7,-1
LOC111108663,2,3,-1
LOC111108670,2,4,-2
LOC111108695,2,3,-1
LOC111108716,2,1,1
LOC111108749,3,2,1
LOC111108769,5,7,-2
LOC111108771,2,3,-1
LOC111108772,3,4,-1
LOC111108779,3,2,1
LOC111108782,2,3,-1
LOC111108787,1,2,-1
LOC111108830,1,0,1
LOC111108841,0,1,-1
LOC111108876,1,0,1
LOC111108884,0,1,-1
LOC111108931,3,2,1
LOC111108937,0,1,-1
LOC111109141,0,1,-1
LOC111109192,0,1,-1
LOC111109200,0,1,-1
LOC111109202,0,1,-1
LOC111109203,0,1,-1
LOC111109263,2,1,1
LOC111109312,0,1,-1
LOC111109317,0,1,-1
LOC111109401,2,1,1
LOC111109402,2,3,-1
LOC111109404,5,6,-1
LOC111109414,4,5,-1
LOC111109417,1,2,-1
LOC111109456,2,4,-2
LOC111109465,8,6,2
LOC111109473,3,2,1
LOC111109474,2,1,1
LOC111109484,9,6,3
LOC111109489,2,3,-1
LOC111109495,5,4,1
LOC111109497,1,2,-1
LOC111109523,4,1,3
LOC111109550,1,3,-2
LOC111109561,3,4,-1
LOC111109585,2,3,-1
LOC111109588,2,1,1
LOC111109611,3,4,-1
LOC111109630,3,2,1
LOC111109641,2,3,-1
LOC111109655,5,6,-1
LOC111109671,3,2,1
LOC111109693,3,4,-1
LOC111109695,0,1,-1
LOC111109711,1,2,-1
LOC111109723,2,1,1
LOC111109724,0,1,-1
LOC111109727,1,2,-1
LOC111109728,0,1,-1
LOC111109749,2,3,-1
LOC111109752,2,1,1
LOC111109821,1,2,-1
LOC111109829,1,2,-1
LOC111109831,3,2,1
LOC111109833,2,1,1
LOC111109852,5,2,3
LOC111109855,1,2,-1
LOC111109868,3,2,1
LOC111109879,3,2,1
LOC111109885,5,6,-1
LOC111109910,1,2,-1
LOC111109914,2,1,1
LOC111109916,4,2,2
LOC111109925,2,1,1
LOC111109940,2,1,1
LOC111109963,1,2,-1
LOC111109974,1,2,-1
LOC111109991,2,3,-1
LOC111110017,2,3,-1
LOC111110018,2,1,1
LOC111110028,10,9,1
LOC111110043,2,1,1
LOC111110073,4,3,1
LOC111110074,0,1,-1
LOC111110094,2,1,1
LOC111110106,1,2,-1
LOC111110130,2,1,1
LOC111110134,0,1,-1
LOC111110142,4,5,-1
LOC111110143,1,2,-1
LOC111110148,4,5,-1
LOC111110171,1,2,-1
LOC111110186,0,1,-1
LOC111110196,2,1,1
LOC111110199,3,4,-1
LOC111110223,1,2,-1
LOC111110228,2,1,1
LOC111110239,3,2,1
LOC111110244,8,7,1
LOC111110249,2,1,1
LOC111110250,4,5,-1
LOC111110262,2,1,1
LOC111110296,6,5,1
LOC111110316,4,5,-1
LOC111110318,1,2,-1
LOC111110319,2,1,1
LOC111110324,1,2,-1
LOC111110325,0,1,-1
LOC111110349,0,2,-2
LOC111110352,5,4,1
LOC111110367,1,2,-1
LOC111110396,1,2,-1
LOC111110400,0,1,-1
LOC111110476,6,5,1
LOC111110477,1,3,-2
LOC111110481,1,0,1
LOC111110509,3,2,1
LOC111110526,6,5,1
LOC111110538,1,2,-1
LOC111110540,3,4,-1
LOC111110545,5,4,1
LOC111110556,1,2,-1
LOC111110570,1,0,1
LOC111110585,1,2,-1
LOC111110609,4,2,2
LOC111110622,2,1,1
LOC111110633,2,3,-1
LOC111110640,2,3,-1
LOC111110642,4,5,-1
LOC111110650,1,0,1
LOC111110659,2,3,-1
LOC111110671,4,5,-1
LOC111110674,2,1,1
LOC111110680,0,1,-1
LOC111110708,2,1,1
LOC111110715,1,2,-1
LOC111110716,3,1,2
LOC111110744,2,3,-1
LOC111110748,6,8,-2
LOC111110752,2,1,1
LOC111110756,3,4,-1
LOC111110782,3,2,1
LOC111110803,0,1,-1
LOC111110813,1,2,-1
LOC111110814,3,2,1
LOC111110817,1,3,-2
LOC111110820,3,4,-1
LOC111110840,1,2,-1
LOC111110845,1,2,-1
LOC111110858,1,0,1
LOC111110863,7,4,3
LOC111110867,7,6,1
LOC111110875,1,2,-1
LOC111110876,1,2,-1
LOC111110881,2,3,-1
LOC111110883,1,2,-1
LOC111110890,4,5,-1
LOC111110905,3,2,1
LOC111110910,2,5,-3
LOC111110934,0,1,-1
LOC111110957,3,2,1
LOC111110965,6,5,1
LOC111110975,5,4,1
LOC111110997,14,16,-2
LOC111110999,2,1,1
LOC111111003,3,2,1
LOC111111017,3,2,1
LOC111111023,2,1,1
LOC111111028,2,3,-1
LOC111111050,11,10,1
LOC111111058,9,8,1
LOC111111067,0,1,-1
LOC111111079,2,1,1
LOC111111097,0,2,-2
LOC111111099,4,2,2
LOC111111101,2,1,1
LOC111111131,3,2,1
LOC111111132,2,3,-1
LOC111111134,1,2,-1
LOC111111138,0,1,-1
LOC111111140,1,0,1
LOC111111150,1,0,1
LOC111111156,4,5,-1
LOC111111161,1,2,-1
LOC111111178,0,1,-1
LOC111111182,3,4,-1
