gene_name,control_females_max_transcript_counts,exposed_females_max_transcript_counts,difference
LOC111105378,2,1,1
LOC111105382,4,5,-1
LOC111105397,2,1,1
LOC111105404,3,1,2
LOC111105405,1,2,-1
LOC111105409,2,1,1
LOC111105412,2,1,1
LOC111105415,1,0,1
LOC111105423,5,4,1
LOC111105463,1,0,1
LOC111105471,2,3,-1
LOC111105475,2,1,1
LOC111105478,2,3,-1
LOC111105480,9,0,9
LOC111105494,4,3,1
LOC111105540,2,1,1
LOC111105545,2,1,1
LOC111105547,2,1,1
LOC111105549,3,1,2
LOC111105552,2,4,-2
LOC111105555,1,2,-1
LOC111105575,2,1,1
LOC111105591,2,3,-1
LOC111105593,2,1,1
LOC111105605,0,1,-1
LOC111105609,3,2,1
LOC111105611,0,1,-1
LOC111105618,1,0,1
LOC111105619,2,4,-2
LOC111105620,1,0,1
LOC111105622,1,0,1
LOC111105624,1,2,-1
LOC111105635,1,2,-1
LOC111105638,0,1,-1
LOC111105659,1,2,-1
LOC111105684,6,1,5
LOC111105686,2,3,-1
LOC111105716,17,15,2
LOC111105726,0,1,-1
LOC111105746,0,1,-1
LOC111105771,1,0,1
LOC111105775,2,1,1
LOC111105777,1,0,1
LOC111105783,2,1,1
LOC111105787,1,0,1
LOC111105795,3,2,1
LOC111105800,1,0,1
LOC111105801,4,2,2
LOC111105814,0,1,-1
LOC111105825,0,3,-3
LOC111105828,15,12,3
LOC111105837,1,0,1
LOC111105847,4,5,-1
LOC111105852,2,3,-1
LOC111105853,1,2,-1
LOC111105855,1,2,-1
LOC111105861,1,0,1
LOC111105874,0,1,-1
LOC111105882,3,4,-1
LOC111105883,0,1,-1
LOC111105903,1,2,-1
LOC111105904,12,8,4
LOC111105910,2,1,1
LOC111105920,4,3,1
LOC111105921,3,2,1
LOC111105923,3,4,-1
LOC111105924,1,2,-1
LOC111105937,1,2,-1
LOC111105939,3,2,1
LOC111105940,2,1,1
LOC111105948,1,2,-1
LOC111105950,2,1,1
LOC111105982,1,2,-1
LOC111105983,0,3,-3
LOC111105991,2,1,1
LOC111105995,1,0,1
LOC111106007,2,1,1
LOC111106008,1,2,-1
LOC111106038,2,1,1
LOC111106047,3,2,1
LOC111106078,0,1,-1
LOC111106086,1,0,1
LOC111106095,2,1,1
LOC111106113,1,0,1
LOC111106119,7,10,-3
LOC111106126,1,2,-1
LOC111106137,1,0,1
LOC111106145,0,1,-1
LOC111106147,1,0,1
LOC111106150,2,1,1
LOC111106154,2,1,1
LOC111106170,2,1,1
LOC111106179,3,1,2
LOC111106195,1,0,1
LOC111106199,2,1,1
LOC111106203,1,2,-1
LOC111106212,7,6,1
LOC111106214,3,1,2
LOC111106218,0,1,-1
LOC111106220,0,1,-1
LOC111106225,2,1,1
LOC111106228,2,3,-1
LOC111106238,3,2,1
LOC111106240,9,10,-1
LOC111106244,1,2,-1
LOC111106245,0,1,-1
LOC111106260,2,1,1
LOC111106267,3,1,2
LOC111106279,0,1,-1
LOC111106280,1,0,1
LOC111106281,2,1,1
LOC111106292,2,1,1
LOC111106299,4,5,-1
LOC111106302,0,1,-1
LOC111106307,3,2,1
LOC111106309,2,1,1
LOC111106326,2,1,1
LOC111106333,5,7,-2
LOC111106344,2,1,1
LOC111106352,1,2,-1
LOC111106374,1,0,1
LOC111106379,1,0,1
LOC111106384,2,1,1
LOC111106388,0,1,-1
LOC111106389,3,1,2
LOC111106393,2,1,1
LOC111106402,1,2,-1
LOC111106412,1,2,-1
LOC111106415,1,0,1
LOC111106420,1,0,1
LOC111106424,1,2,-1
LOC111106430,1,0,1
LOC111106447,0,1,-1
LOC111106453,1,0,1
LOC111106457,3,2,1
LOC111106481,2,1,1
LOC111106488,1,0,1
LOC111106508,4,5,-1
LOC111106514,3,2,1
LOC111106520,3,2,1
LOC111106533,1,0,1
LOC111106535,1,2,-1
LOC111106546,3,2,1
LOC111106556,1,2,-1
LOC111106558,2,1,1
LOC111106560,0,1,-1
LOC111106562,0,1,-1
LOC111106572,1,0,1
LOC111106580,0,1,-1
LOC111106589,1,2,-1
LOC111106603,0,1,-1
LOC111106606,2,1,1
LOC111106611,2,1,1
LOC111106612,0,1,-1
LOC111106615,1,0,1
LOC111106618,1,2,-1
LOC111106620,2,1,1
LOC111106630,2,3,-1
LOC111106637,3,2,1
LOC111106639,13,11,2
LOC111106647,1,0,1
LOC111106650,3,2,1
LOC111106656,1,2,-1
LOC111106664,3,1,2
LOC111106666,2,1,1
LOC111106668,5,2,3
LOC111106671,2,1,1
LOC111106678,2,1,1
LOC111106679,2,0,2
LOC111106688,1,0,1
LOC111106698,2,3,-1
LOC111106706,2,3,-1
LOC111106711,3,2,1
LOC111106714,2,1,1
LOC111106725,1,0,1
LOC111106726,2,1,1
LOC111106732,2,1,1
LOC111106739,2,1,1
LOC111106744,1,0,1
LOC111106758,1,0,1
LOC111106761,0,1,-1
LOC111106765,3,1,2
LOC111106768,3,2,1
LOC111106793,1,2,-1
LOC111106802,1,2,-1
LOC111106814,1,0,1
LOC111106825,2,1,1
LOC111106830,14,11,3
LOC111106835,1,0,1
LOC111106841,0,1,-1
LOC111106843,1,0,1
LOC111106861,3,5,-2
LOC111106865,1,0,1
LOC111106867,0,1,-1
LOC111106874,5,3,2
LOC111106876,0,1,-1
LOC111106893,0,1,-1
LOC111106917,2,1,1
LOC111106944,3,4,-1
LOC111106963,0,1,-1
LOC111106967,3,2,1
LOC111106974,0,2,-2
LOC111106979,2,1,1
LOC111106980,16,12,4
LOC111106984,1,0,1
LOC111106989,3,1,2
LOC111106996,1,0,1
LOC111107004,1,0,1
LOC111107016,0,1,-1
LOC111107018,3,2,1
LOC111107048,3,2,1
LOC111107058,6,5,1
LOC111107076,1,0,1
LOC111107077,1,0,1
LOC111107090,1,0,1
LOC111107097,3,4,-1
LOC111107104,8,7,1
LOC111107138,12,8,4
LOC111107143,1,2,-1
LOC111107155,6,5,1
LOC111107161,1,0,1
LOC111107177,4,3,1
LOC111107185,2,6,-4
LOC111107186,2,1,1
LOC111107193,2,1,1
LOC111107197,1,2,-1
LOC111107202,0,1,-1
LOC111107203,1,0,1
LOC111107204,14,9,5
LOC111107223,1,0,1
LOC111107241,1,2,-1
LOC111107253,2,3,-1
LOC111107266,4,2,2
LOC111107271,1,2,-1
LOC111107278,10,9,1
LOC111107281,2,1,1
LOC111107284,3,1,2
LOC111107287,1,2,-1
LOC111107325,3,4,-1
LOC111107328,14,7,7
LOC111107352,1,0,1
LOC111107360,1,2,-1
LOC111107364,4,5,-1
LOC111107370,2,1,1
LOC111107381,0,1,-1
LOC111107416,0,1,-1
LOC111107435,1,0,1
LOC111107440,0,1,-1
LOC111107441,0,1,-1
LOC111107464,0,1,-1
LOC111107466,0,1,-1
LOC111107486,2,1,1
LOC111107489,2,1,1
LOC111107493,3,2,1
LOC111107498,1,0,1
