LOC111104082 rna-XM_022437816.1
LOC111104084 rna-XM_022437825.1
LOC111104098 rna-XM_022437844.1
LOC111104104 rna-XM_022437856.1
LOC111104108 rna-XM_022437862.1
LOC111104110 rna-XM_022437868.1
LOC111104112 rna-XM_022437877.1
LOC111104124 rna-XM_022437899.1
LOC111104129 rna-XM_022437913.1
LOC111104135 rna-XM_022437926.1
LOC111104136 rna-XM_022437927.1
LOC111104137 rna-XM_022437929.1
LOC111104154 rna-XM_022437952.1
LOC111104161 rna-XM_022437966.1
LOC111104169 rna-XM_022437973.1
LOC111104180 rna-XM_022437990.1
LOC111104190 rna-XM_022438014.1
LOC111104193 rna-XM_022438024.1
LOC111104196 rna-XM_022438030.1
LOC111104211 rna-XM_022438049.1
LOC111104221 rna-XR_002634848.1
LOC111104228 rna-XM_022438067.1
LOC111104243 rna-XR_002634857.1
LOC111104266 rna-XM_022438113.1
LOC111104269 rna-XM_022438126.1
LOC111104285 rna-XM_022438144.1
LOC111104302 rna-XM_022438175.1
LOC111104311 rna-XM_022438179.1
LOC111104313 rna-XM_022438184.1
LOC111104315 rna-XM_022438188.1
LOC111104326 rna-XM_022438214.1
LOC111104330 rna-XM_022438218.1
LOC111104342 rna-XM_022438235.1
LOC111104349 rna-XM_022438250.1
LOC111104359 rna-XM_022438262.1
LOC111104382 rna-XM_022438299.1
LOC111104386 rna-XR_002634880.1
LOC111104387 rna-XM_022438302.1
LOC111104395 rna-XM_022438314.1
LOC111104396 rna-XM_022438318.1
LOC111104401 rna-XM_022438389.1
LOC111104403 rna-XM_022438325.1
LOC111104406 rna-XM_022438330.1
LOC111104411 rna-XM_022438338.1
LOC111104416 rna-XM_022438344.1
LOC111104425 rna-XM_022438364.1
LOC111104428 rna-XM_022438368.1
LOC111104432 rna-XM_022438384.1
LOC111104433 rna-XM_022438391.1
LOC111104453 rna-XM_022438461.1
LOC111104461 rna-XM_022438433.1
LOC111104464 rna-XM_022438436.1
LOC111104474 rna-XM_022438450.1
LOC111104484 rna-XM_022438463.1
LOC111104515 rna-XM_022438511.1
LOC111104518 rna-XM_022438520.1
LOC111104537 rna-XR_002634909.1
LOC111104540 rna-XM_022438549.1
